symbol,name,exchange,index,isin
3794.KL,MALAYAN CEMENT BERHAD,XKLS,,
3816.KL,MISC BERHAD,XKLS,,MYL3816OO005
3859.KL,MAGNUM BERHAD,XKLS,,
3867.KL,MALAYSIAN PACIFIC INDUSTRIES BERHAD,XKLS,,
3883.KL,MUDA HOLDINGS BERHAD,XKLS,,
3891.KL,MALAYAN UNITED INDUSTRIES BERHAD,XKLS,,
3905.KL,MULPHA INTERNATIONAL BERHAD,XKLS,,
3913.KL,MUI PROPERTIES BERHAD,XKLS,,
3948.KL,DUTALAND BERHAD,XKLS,,
4006.KL,ORIENTAL HOLDINGS BERHAD,XKLS,,MYL4006OO005
4022.KL,MAXIM GLOBAL BERHAD,XKLS,,
4057.KL,ASIAN PAC HOLDINGS BERHAD,XKLS,,
4065.KL,PPB GROUP BERHAD,XKLS,,MYL4065OO000
4081.KL,PAN MALAYSIA CORPORATION BERHAD,XKLS,,
4162.KL,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,XKLS,,
4197.KL,SIME DARBY BERHAD,XKLS,,MYL4197OO006
4219.KL,BERJAYA PROPERTY BERHAD,XKLS,,
4235.KL,LION INDUSTRIES CORPORATION BERHAD,XKLS,,
4243.KL,WTK HOLDINGS BERHAD,XKLS,,
4251.KL,I-BERHAD,XKLS,,
4286.KL,SEAL INCORPORATED BERHAD,XKLS,,
